OTU,daughterlevels,total,ODBF,ODBFF,ODBLF,ODCF,ODCFF,ODCLF,ODDF,ODDFF,ODDLF
Taxon1,0,16,3,0,0,5,0,1,6,0,1
Taxon2,0,7,0,2,0,1,1,0,1,1,1
Taxon3,0,121,17,7,10,28,29,5,12,6,7
Taxon4,0,4,0,0,0,1,0,0,2,0,1
Taxon5,0,1,0,0,0,0,0,1,0,0,0
Taxon6,0,15,5,1,1,2,1,1,1,0,3
Taxon7,0,26,3,5,1,5,7,1,1,1,2
Taxon8,0,26,6,0,1,5,4,3,1,4,2
Taxon9,0,14,1,3,0,5,3,0,2,0,0
Taxon10,0,12,1,0,1,1,5,0,3,1,0
Taxon11,0,13,0,0,0,5,5,3,0,0,0
Taxon12,0,47,1,1,1,16,18,7,1,0,2
Taxon13,0,41,13,1,2,6,9,4,5,0,1
Taxon14,0,10,2,0,0,3,4,1,0,0,0
Taxon15,0,55,3,4,2,25,14,6,1,0,0
Taxon16,0,16,4,1,0,6,3,2,0,0,0
Taxon17,0,47146,3300,10145,7226,3562,4530,5444,2480,4936,5523
Taxon18,0,1,0,0,0,1,0,0,0,0,0
Taxon19,0,6,0,0,0,3,3,0,0,0,0
Taxon20,0,4,0,0,0,0,2,0,1,0,1
Taxon21,0,1012,170,37,58,230,38,26,361,30,62
Taxon22,0,1,1,0,0,0,0,0,0,0,0
Taxon23,0,4,2,0,0,0,2,0,0,0,0
Taxon24,0,1,1,0,0,0,0,0,0,0,0
Taxon25,0,5,3,0,0,0,2,0,0,0,0
Taxon26,0,6,0,2,0,3,0,0,0,1,0
Taxon27,0,357,74,28,13,67,33,8,87,20,27
Taxon28,0,4,0,2,0,0,1,0,0,1,0
Taxon29,0,8,0,0,0,2,4,0,2,0,0
Taxon30,0,6058,816,621,478,895,1663,71,631,481,402
Taxon31,0,62,9,3,1,10,3,5,25,2,4
Taxon32,0,4,2,0,1,0,1,0,0,0,0
Taxon33,0,2,1,1,0,0,0,0,0,0,0
Taxon34,0,1,0,0,0,0,0,1,0,0,0
Taxon35,0,19,0,3,0,4,11,1,0,0,0
