OTU,Phylum,Class,Order,Family,Genus
Taxon1,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
Taxon2,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Acidicapsa
Taxon3,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Acidipila
Taxon4,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Acidobacteriaceae_(Subgroup_1)_ge
Taxon5,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Acidobacterium
Taxon6,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Bryocella
Taxon7,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Edaphobacter
Taxon8,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Granulicella
Taxon9,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Occallatibacter
Taxon10,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Terracidiphilus
Taxon11,Acidobacteriota,Acidobacteriae,Acidobacteriales,Koribacteraceae,Candidatus_Koribacter
Taxon12,Acidobacteriota,Acidobacteriae,Acidobacteriales,uncultured,uncultured_ge
Taxon13,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
Taxon14,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus_Solibacter
Taxon15,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2_fa,Subgroup_2_ge
Taxon16,Acidobacteriota,Blastocatellia,24-Nov,11-24_fa,11-24_ge
Taxon17,Acidobacteriota,Subgroup_18,Subgroup_18_or,Subgroup_18_fa,Subgroup_18_ge
Taxon18,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
Taxon19,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacter
Taxon20,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,uncultured_ge
Taxon21,Actinobacteriota,Acidimicrobiia,IMCC26256,IMCC26256_fa,IMCC26256_ge
Taxon22,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group
Taxon23,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter
Taxon24,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacteraceae_ge
Taxon25,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,uncultured
